score,severity,is_anomaly,timestamp,actual_failure
-0.4672,NORMAL,False,2026-06-04T23:22:47.576629,0
-0.562,HIGH,True,2026-06-04T23:22:47.769663,1
-0.5617,HIGH,True,2026-06-04T23:23:00.099788,0
-0.562,HIGH,True,2026-06-04T23:23:11.491636,0
-0.5654,HIGH,True,2026-06-04T23:23:52.880135,0
-0.5701,HIGH,True,2026-06-04T23:24:23.325160,0
-0.574,HIGH,True,2026-06-04T23:26:23.525315,0
-0.5689,HIGH,True,2026-06-04T23:26:26.987984,0
-0.5225,MEDIUM,True,2026-06-04T23:26:27.489345,0
-0.5089,LOW,False,2026-06-04T23:26:27.912255,0
-0.5176,LOW,False,2026-06-04T23:26:28.233167,0
-0.5222,MEDIUM,True,2026-06-04T23:26:28.488617,0
-0.5201,MEDIUM,True,2026-06-04T23:26:28.913341,0
-0.5147,LOW,False,2026-06-04T23:26:30.537080,0
-0.5107,LOW,False,2026-06-04T23:26:30.726074,0
-0.5282,MEDIUM,True,2026-06-04T23:26:30.907772,0
-0.5253,MEDIUM,True,2026-06-04T23:26:31.391356,0
-0.5199,LOW,False,2026-06-04T23:26:31.772364,0
-0.5218,MEDIUM,True,2026-06-04T23:26:31.973249,0
-0.5213,MEDIUM,True,2026-06-04T23:26:32.449187,0
-0.535,MEDIUM,True,2026-06-04T23:26:33.015981,1
-0.5277,MEDIUM,True,2026-06-04T23:26:34.526321,0
-0.5291,MEDIUM,True,2026-06-04T23:26:34.954768,0
-0.5369,MEDIUM,True,2026-06-04T23:26:35.344875,0
-0.5438,MEDIUM,True,2026-06-04T23:26:35.713315,0
-0.5479,MEDIUM,True,2026-06-04T23:26:36.128211,0
-0.5586,HIGH,True,2026-06-04T23:26:36.475511,0
-0.5607,HIGH,True,2026-06-04T23:26:37.076834,0
-0.5702,HIGH,True,2026-06-04T23:26:38.480828,1
-0.5736,HIGH,True,2026-06-04T23:26:38.987595,0
-0.5876,HIGH,True,2026-06-04T23:26:39.590561,0
-0.5866,HIGH,True,2026-06-04T23:26:40.112308,0
-0.5879,HIGH,True,2026-06-04T23:26:40.576220,0
-0.5785,HIGH,True,2026-06-04T23:26:40.973341,0
-0.5832,HIGH,True,2026-06-04T23:26:41.521077,0
-0.5808,HIGH,True,2026-06-04T23:26:42.853468,0
-0.5709,HIGH,True,2026-06-04T23:26:43.305046,0
-0.5722,HIGH,True,2026-06-04T23:26:43.812579,0
-0.5688,HIGH,True,2026-06-04T23:26:44.282708,0
-0.5684,HIGH,True,2026-06-04T23:26:44.793609,0
-0.5637,HIGH,True,2026-06-04T23:26:45.275899,0
-0.5604,HIGH,True,2026-06-04T23:26:46.702864,0
-0.5503,HIGH,True,2026-06-04T23:26:47.206363,0
-0.5456,MEDIUM,True,2026-06-04T23:26:47.575793,0
-0.5439,MEDIUM,True,2026-06-04T23:26:48.226029,0
-0.5458,MEDIUM,True,2026-06-04T23:26:48.619204,0
-0.5399,MEDIUM,True,2026-06-04T23:26:49.084045,0
-0.544,MEDIUM,True,2026-06-04T23:26:49.654563,0
-0.5433,MEDIUM,True,2026-06-04T23:26:50.701549,0
-0.5443,MEDIUM,True,2026-06-04T23:26:51.177559,0
-0.5457,MEDIUM,True,2026-06-04T23:26:51.643668,0
-0.4206,NORMAL,False,2026-06-04T23:26:52.019286,0
-0.4203,NORMAL,False,2026-06-04T23:26:52.206724,0
-0.4215,NORMAL,False,2026-06-04T23:26:52.390684,0
-0.4213,NORMAL,False,2026-06-04T23:26:52.550578,0
-0.4187,NORMAL,False,2026-06-04T23:26:52.709726,0
-0.4201,NORMAL,False,2026-06-04T23:26:52.876413,0
-0.4207,NORMAL,False,2026-06-04T23:26:53.033049,0
-0.4204,NORMAL,False,2026-06-04T23:26:53.197409,0
-0.4173,NORMAL,False,2026-06-04T23:26:53.355292,0
-0.4181,NORMAL,False,2026-06-04T23:26:53.523533,0
-0.4285,NORMAL,False,2026-06-04T23:26:53.705310,0
-0.4204,NORMAL,False,2026-06-04T23:26:53.864135,0
-0.4191,NORMAL,False,2026-06-04T23:26:54.034123,0
-0.4152,NORMAL,False,2026-06-04T23:26:54.242089,0
-0.42,NORMAL,False,2026-06-04T23:26:54.430631,0
-0.4232,NORMAL,False,2026-06-04T23:26:54.592954,0
-0.422,NORMAL,False,2026-06-04T23:26:54.783241,0
-0.426,NORMAL,False,2026-06-04T23:26:54.970237,0
-0.4292,NORMAL,False,2026-06-04T23:26:55.176010,0
-0.4396,NORMAL,False,2026-06-04T23:26:55.377075,0
-0.4355,NORMAL,False,2026-06-04T23:26:55.564955,0
-0.437,NORMAL,False,2026-06-04T23:26:55.803092,0
-0.4319,NORMAL,False,2026-06-04T23:26:55.967015,0
-0.4375,NORMAL,False,2026-06-04T23:26:56.137693,0
-0.4415,NORMAL,False,2026-06-04T23:26:56.364614,0
-0.443,NORMAL,False,2026-06-04T23:26:56.543045,0
-0.4115,NORMAL,False,2026-06-04T23:26:56.742846,0
-0.4288,NORMAL,False,2026-06-04T23:26:56.933237,0
-0.4322,NORMAL,False,2026-06-04T23:26:57.103876,0
-0.4273,NORMAL,False,2026-06-04T23:26:57.294600,0
-0.4257,NORMAL,False,2026-06-04T23:26:57.471774,0
